Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
192.168.10.3-192.168.10.14-53-62811-17,192.168.10.14,62811,192.168.10.3,53,17,4/7/2017 10:10,181,2,2,94,222,47,47,47,0,111,111,111,0,1745856.354,22099.44751,60.33333333,99.3042463,175,3,3,3,0,3,3,3,3,0,3,3,0,0,0,0,40,40,11049.72376,11049.72376,47,111,72.6,35.05424368,1228.8,0,0,0,0,0,0,0,0,1,90.75,47,111,40,0,0,0,0,0,0,2,94,2,222,-1,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
192.168.10.3-192.168.10.5-53-61793-17,192.168.10.5,61793,192.168.10.3,53,17,4/7/2017 10:10,193809,4,2,128,206,32,32,32,0,103,103,103,0,1723.346181,30.95831463,38761.8,70593.34704,162773,3,30845,10281.66667,17802.30688,30838,3,191,191,0,191,191,0,0,0,0,104,64,20.63887642,10.31943821,32,103,52.28571429,34.64445259,1200.238095,0,0,0,0,0,0,0,0,0,61,32,103,104,0,0,0,0,0,0,4,128,2,206,-1,-1,3,20,0,0,0,0,0,0,0,0,BENIGN
172.16.0.1-192.168.10.50-58790-21-6,192.168.10.50,21,172.16.0.1,58790,6,4/7/2017 10:10,3,2,0,0,0,0,0,0,0,0,0,0,0,0,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,0,0,0,0,40,0,666666.6667,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,2,0,0,0,0,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
192.168.10.14-8.43.72.37-51895-443-6,8.43.72.37,443,192.168.10.14,51895,6,4/7/2017 10:10,54,1,1,0,0,0,0,0,0,0,0,0,0,0,37037.03704,54,0,54,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,18518.51852,18518.51852,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,20,0,0,0,0,0,0,1,0,1,0,11256,64165,0,20,0,0,0,0,0,0,0,0,BENIGN
192.168.10.3-192.168.10.14-53-65139-17,192.168.10.14,65139,192.168.10.3,53,17,4/7/2017 10:10,136002,4,4,204,888,51,51,51,0,222,222,222,0,8029.293687,58.82266437,19428.85714,50576.85872,134119,3,135706,45235.33333,78343.83345,135699,3,1879,626.3333333,1077.912953,1871,4,0,0,0,0,104,128,29.41133219,29.41133219,51,222,127,90.12491331,8122.5,0,0,0,0,0,0,0,0,1,142.875,51,222,104,0,0,0,0,0,0,4,204,4,888,-1,-1,3,20,0,0,0,0,0,0,0,0,BENIGN
192.168.10.15-23.251.132.175-52397-80-6,192.168.10.15,52397,23.251.132.175,80,6,4/7/2017 10:10,77946922,12,10,250,206,243,0,20.83333333,69.96600906,206,0,20.6,65.1429198,5.850134788,0.282243345,3711758.19,4782215.413,1.00E+07,109,7.79E+07,7086083.818,4582658.353,1.01E+07,228,7.09E+07,7882171.111,4435720.714,1.01E+07,980,0,0,0,0,252,296,0.153950915,0.12829243,0,243,19.82608696,64.82539638,4202.332016,0,0,0,1,0,0,0,0,0,20.72727273,20.83333333,20.6,252,0,0,0,0,0,0,12,250,10,206,8192,231,8,20,137612.5,59042.18289,283730,116202,9605752.75,1096951.231,1.00E+07,6891299,BENIGN
192.168.10.3-192.168.10.17-53-30113-17,192.168.10.17,30113,192.168.10.3,53,17,4/7/2017 10:10,482832,2,2,74,138,37,37,37,0,69,69,69,0,439.0761176,8.284455049,160944,278756.257,482824,3,5,5,0,5,5,3,3,0,3,3,0,0,0,0,40,64,4.142227524,4.142227524,37,69,49.8,17.52712184,307.2,0,0,0,0,0,0,0,0,1,62.25,37,69,40,0,0,0,0,0,0,2,74,2,138,-1,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
192.168.10.3-192.168.10.14-53-52697-17,192.168.10.14,52697,192.168.10.3,53,17,4/7/2017 10:10,23862,2,2,148,312,74,74,74,0,156,156,156,0,19277.51236,167.6305423,7954,13731.71643,23810,4,48,48,0,48,48,4,4,0,4,4,0,0,0,0,64,64,83.81527114,83.81527114,74,156,106.8,44.91324972,2017.2,0,0,0,0,0,0,0,0,1,133.5,74,156,64,0,0,0,0,0,0,2,148,2,312,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
192.168.10.3-192.168.10.5-53-64579-17,192.168.10.5,64579,192.168.10.3,53,17,4/7/2017 10:10,47992,4,2,156,202,39,39,39,0,101,101,101,0,7459.576596,125.0208368,9598.4,13922.43342,30568,4,30622,10207.33333,17632.8683,30568,5,4,4,0,4,4,0,0,0,0,128,40,83.34722454,41.67361227,39,101,56.71428571,30.25290226,915.2380952,0,0,0,0,0,0,0,0,0,66.16666667,39,101,128,0,0,0,0,0,0,4,156,2,202,-1,-1,3,32,0,0,0,0,0,0,0,0,BENIGN
192.168.10.3-192.168.10.15-53-57207-17,192.168.10.15,57207,192.168.10.3,53,17,4/7/2017 10:10,174,2,2,102,158,51,51,51,0,79,79,79,0,1494252.874,22988.50575,58,60.00833275,122,3,3,3,0,3,3,49,49,0,49,49,0,0,0,0,64,64,11494.25287,11494.25287,51,79,62.2,15.33623161,235.2,0,0,0,0,0,0,0,0,1,77.75,51,79,64,0,0,0,0,0,0,2,102,2,158,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
192.168.10.3-192.168.10.14-53-61520-17,192.168.10.14,61520,192.168.10.3,53,17,4/7/2017 10:10,109887,2,2,72,286,36,36,36,0,143,143,143,0,3257.892198,36.40103015,36629,63439.82494,109883,1,1,1,0,1,1,3,3,0,3,3,0,0,0,0,40,40,18.20051507,18.20051507,36,143,78.8,58.60631365,3434.7,0,0,0,0,0,0,0,0,1,98.5,36,143,40,0,0,0,0,0,0,2,72,2,286,-1,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
192.168.10.3-192.168.10.14-53-53673-17,192.168.10.14,53673,192.168.10.3,53,17,4/7/2017 10:10,24011,2,2,102,382,51,51,51,0,191,191,191,0,20157.42785,166.5903128,8003.666667,13855.82911,24003,4,4,4,0,4,4,4,4,0,4,4,0,0,0,0,40,40,83.29515639,83.29515639,51,191,107,76.68115805,5880,0,0,0,0,0,0,0,0,1,133.75,51,191,40,0,0,0,0,0,0,2,102,2,382,-1,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
192.168.10.3-192.168.10.14-53-56681-17,192.168.10.14,56681,192.168.10.3,53,17,4/7/2017 10:10,197,2,2,80,112,40,40,40,0,56,56,56,0,974619.2893,20304.56853,65.66666667,73.11862508,146,3,3,3,0,3,3,48,48,0,48,48,0,0,0,0,64,64,10152.28426,10152.28426,40,56,46.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,58,40,56,64,0,0,0,0,0,0,2,80,2,112,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
192.168.10.3-192.168.10.17-53-35312-17,192.168.10.17,35312,192.168.10.3,53,17,4/7/2017 10:10,205,2,2,60,264,30,30,30,0,132,132,132,0,1580487.805,19512.19512,68.33333333,113.1606528,199,3,3,3,0,3,3,3,3,0,3,3,0,0,0,0,64,64,9756.097561,9756.097561,30,132,70.8,55.86770087,3121.2,0,0,0,0,0,0,0,0,1,88.5,30,132,64,0,0,0,0,0,0,2,60,2,264,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
192.168.10.3-192.168.10.14-53-61206-17,192.168.10.14,61206,192.168.10.3,53,17,4/7/2017 10:10,178,2,2,84,204,42,42,42,0,102,102,102,0,1617977.528,22471.91011,59.33333333,95.84014469,170,4,4,4,0,4,4,4,4,0,4,4,0,0,0,0,40,40,11235.95506,11235.95506,42,102,66,32.86335345,1080,0,0,0,0,0,0,0,0,1,82.5,42,102,40,0,0,0,0,0,0,2,84,2,204,-1,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
192.168.10.3-192.168.10.17-53-43040-17,192.168.10.17,43040,192.168.10.3,53,17,4/7/2017 10:10,78773,2,2,86,342,43,43,43,0,171,171,171,0,5433.333756,50.77882015,26257.66667,45463.1586,78754,4,15,15,0,15,15,4,4,0,4,4,0,0,0,0,40,64,25.38941008,25.38941008,43,171,94.2,70.10848736,4915.2,0,0,0,0,0,0,0,0,1,117.75,43,171,40,0,0,0,0,0,0,2,86,2,342,-1,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
192.168.10.15-23.15.4.17-52318-80-6,192.168.10.15,52318,23.15.4.17,80,6,4/7/2017 10:10,82662305,15,15,339,8696,331,0,22.6,85.31772551,2920,0,579.7333333,924.7550615,109.3001217,0.362922374,2850424.31,4514784.031,1.00E+07,35,8.27E+07,5904450.357,4965121.416,1.00E+07,63,8.02E+07,5725339.357,5141505.313,1.00E+07,48,0,0,0,0,312,408,0.181461187,0.181461187,0,2920,291.4516129,694.9837331,483002.3892,0,0,0,1,0,0,0,0,1,301.1666667,22.6,579.7333333,312,0,0,0,0,0,0,15,339,15,8696,8192,946,9,20,18494.875,9360.264212,41657,14998,1.00E+07,419.9494655,1.00E+07,1.00E+07,BENIGN
192.168.10.3-192.168.10.16-53-40828-17,192.168.10.16,40828,192.168.10.3,53,17,4/7/2017 10:10,214,2,2,84,204,42,42,42,0,102,102,102,0,1345794.393,18691.58879,71.33333333,120.088856,210,2,2,2,0,2,2,2,2,0,2,2,0,0,0,0,40,40,9345.794393,9345.794393,42,102,66,32.86335345,1080,0,0,0,0,0,0,0,0,1,82.5,42,102,40,0,0,0,0,0,0,2,84,2,204,-1,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
192.168.10.3-192.168.10.14-53-55401-17,192.168.10.14,55401,192.168.10.3,53,17,4/7/2017 10:10,222272,4,4,252,580,63,63,63,0,145,145,145,0,3743.161532,35.99193781,31753.14286,73900.91313,198127,1,222042,74014,128192.5444,222038,1,198362,66120.66667,114518.2919,198355,3,0,0,0,0,104,104,17.9959689,17.9959689,63,145,99.44444444,43.21779469,1867.777778,0,0,0,0,0,0,0,0,1,111.875,63,145,104,0,0,0,0,0,0,4,252,4,580,-1,-1,3,20,0,0,0,0,0,0,0,0,BENIGN
192.168.10.3-192.168.10.17-53-29788-17,192.168.10.17,29788,192.168.10.3,53,17,4/7/2017 10:10,49159,2,2,78,188,39,39,39,0,94,94,94,0,5411.013243,81.36862019,16386.33333,28338.67078,49109,1,49,49,0,49,49,1,1,0,1,1,0,0,0,0,64,80,40.6843101,40.6843101,39,94,61,30.12474066,907.5,0,0,0,0,0,0,0,0,1,76.25,39,94,64,0,0,0,0,0,0,2,78,2,188,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
192.168.10.3-192.168.10.5-53-60381-17,192.168.10.5,60381,192.168.10.3,53,17,4/7/2017 10:10,189,2,2,60,264,30,30,30,0,132,132,132,0,1714285.714,21164.02116,63,103.9230485,183,3,3,3,0,3,3,3,3,0,3,3,0,0,0,0,40,40,10582.01058,10582.01058,30,132,70.8,55.86770087,3121.2,0,0,0,0,0,0,0,0,1,88.5,30,132,40,0,0,0,0,0,0,2,60,2,264,-1,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
192.168.10.3-192.168.10.5-53-52049-17,192.168.10.5,52049,192.168.10.3,53,17,4/7/2017 10:10,157,2,2,60,92,30,30,30,0,46,46,46,0,968152.8662,25477.70701,52.33333333,85.44783984,151,3,3,3,0,3,3,3,3,0,3,3,0,0,0,0,64,64,12738.8535,12738.8535,30,46,36.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,45.5,30,46,64,0,0,0,0,0,0,2,60,2,92,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
192.168.10.19-54.178.249.132-40079-443-6,192.168.10.19,40079,54.178.249.132,443,6,4/7/2017 10:10,190863,1,1,0,0,0,0,0,0,0,0,0,0,0,10.47872034,190863,0,190863,190863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,5.239360169,5.239360169,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,40,0,0,0,0,0,0,1,0,1,0,29200,0,0,40,0,0,0,0,0,0,0,0,BENIGN
192.168.10.3-192.168.10.5-53-61715-17,192.168.10.5,61715,192.168.10.3,53,17,4/7/2017 10:10,296,2,2,88,144,44,44,44,0,72,72,72,0,783783.7838,13513.51351,98.66666667,86.02519011,198,49,49,49,0,49,49,49,49,0,49,49,0,0,0,0,40,40,6756.756757,6756.756757,44,72,55.2,15.33623161,235.2,0,0,0,0,0,0,0,0,1,69,44,72,40,0,0,0,0,0,0,2,88,2,144,-1,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
192.168.10.3-192.168.10.16-53-31557-17,192.168.10.16,31557,192.168.10.3,53,17,4/7/2017 10:10,188,2,2,72,196,36,36,36,0,98,98,98,0,1425531.915,21276.59574,62.66666667,68.85007867,138,3,3,3,0,3,3,47,47,0,47,47,0,0,0,0,80,80,10638.29787,10638.29787,36,98,60.8,33.95879857,1153.2,0,0,0,0,0,0,0,0,1,76,36,98,80,0,0,0,0,0,0,2,72,2,196,-1,-1,1,40,0,0,0,0,0,0,0,0,BENIGN
192.168.10.3-192.168.10.14-53-58425-17,192.168.10.14,58425,192.168.10.3,53,17,4/7/2017 10:10,191,2,2,76,108,38,38,38,0,54,54,54,0,963350.7853,20942.40838,63.66666667,68.85007867,139,4,48,48,0,48,48,4,4,0,4,4,0,0,0,0,40,40,10471.20419,10471.20419,38,54,44.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,55.5,38,54,40,0,0,0,0,0,0,2,76,2,108,-1,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
192.168.10.14-23.207.45.163-51521-443-6,23.207.45.163,443,192.168.10.14,51521,6,4/7/2017 10:10,329,3,1,31,0,31,0,10.33333333,17.89785834,0,0,0,0,94224.92401,12158.05471,109.6666667,173.5809129,310,4,314,157,216.374675,310,4,0,0,0,0,0,0,0,0,0,60,20,9118.541033,3039.513678,0,31,6.2,13.86362146,192.2,0,0,0,0,1,0,0,0,0,7.75,10.33333333,0,60,0,0,0,0,0,0,3,31,1,0,1129,0,1,20,0,0,0,0,0,0,0,0,BENIGN
192.168.10.3-192.168.10.16-53-13630-17,192.168.10.16,13630,192.168.10.3,53,17,4/7/2017 10:10,48347,2,2,62,510,31,31,31,0,255,255,255,0,11831.1374,82.73522659,16115.66667,27909.68943,48343,0,0,0,0,0,0,4,4,0,4,4,0,0,0,0,40,40,41.3676133,41.3676133,31,255,120.6,122.6898529,15052.8,0,0,0,0,0,0,0,0,1,150.75,31,255,40,0,0,0,0,0,0,2,62,2,510,-1,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
192.168.10.3-192.168.10.14-53-56485-17,192.168.10.14,56485,192.168.10.3,53,17,4/7/2017 10:10,181630,4,2,172,194,43,43,43,0,97,97,97,0,2015.085614,33.03419039,36326,53984.70877,120502,1,120516,40172,69567.82094,120502,1,3,3,0,3,3,0,0,0,0,104,40,22.02279359,11.0113968,43,97,58.42857143,26.34930197,694.2857143,0,0,0,0,0,0,0,0,0,68.16666667,43,97,104,0,0,0,0,0,0,4,172,2,194,-1,-1,3,20,0,0,0,0,0,0,0,0,BENIGN
192.168.10.3-192.168.10.17-53-50176-17,192.168.10.17,50176,192.168.10.3,53,17,4/7/2017 10:10,217,2,2,62,306,31,31,31,0,153,153,153,0,1695852.535,18433.17972,72.33333333,120.088856,211,3,3,3,0,3,3,3,3,0,3,3,0,0,0,0,40,80,9216.589862,9216.589862,31,153,79.8,66.82215202,4465.2,0,0,0,0,0,0,0,0,1,99.75,31,153,40,0,0,0,0,0,0,2,62,2,306,-1,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
192.168.10.3-192.168.10.5-53-56547-17,192.168.10.5,56547,192.168.10.3,53,17,4/7/2017 10:10,153,2,2,90,122,45,45,45,0,61,61,61,0,1385620.915,26143.79085,51,83.13843876,147,3,3,3,0,3,3,3,3,0,3,3,0,0,0,0,40,40,13071.89542,13071.89542,45,61,51.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,64.25,45,61,40,0,0,0,0,0,0,2,90,2,122,-1,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
192.168.10.3-192.168.10.17-53-12834-17,192.168.10.17,12834,192.168.10.3,53,17,4/7/2017 10:10,76981,2,2,82,204,41,41,41,0,102,102,102,0,3715.202453,51.96087346,25660.33333,44401.70629,76931,1,1,1,0,1,1,49,49,0,49,49,0,0,0,0,64,80,25.98043673,25.98043673,41,102,65.4,33.41107601,1116.3,0,0,0,0,0,0,0,0,1,81.75,41,102,64,0,0,0,0,0,0,2,82,2,204,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
192.168.10.3-192.168.10.5-53-61082-17,192.168.10.5,61082,192.168.10.3,53,17,4/7/2017 10:10,52749,4,2,124,94,31,31,31,0,47,47,47,0,4132.779768,113.7462322,10549.8,14803.41201,30969,3,30975,10325,17878.22844,30969,3,3,3,0,3,3,0,0,0,0,104,64,75.83082144,37.91541072,31,47,35.57142857,7.807200584,60.95238095,0,0,0,0,0,0,0,0,0,41.5,31,47,104,0,0,0,0,0,0,4,124,2,94,-1,-1,3,20,0,0,0,0,0,0,0,0,BENIGN
192.168.10.3-192.168.10.5-53-51242-17,192.168.10.5,51242,192.168.10.3,53,17,4/7/2017 10:10,185,2,2,98,162,49,49,49,0,81,81,81,0,1405405.405,21621.62162,61.66666667,66.56074919,134,3,3,3,0,3,3,48,48,0,48,48,0,0,0,0,64,64,10810.81081,10810.81081,49,81,61.8,17.52712184,307.2,0,0,0,0,0,0,0,0,1,77.25,49,81,64,0,0,0,0,0,0,2,98,2,162,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
192.168.10.3-192.168.10.17-53-46196-17,192.168.10.17,46196,192.168.10.3,53,17,4/7/2017 10:10,24528,2,2,76,332,38,38,38,0,166,166,166,0,16634.05088,163.0789302,8176,14155.18523,24521,3,4,4,0,4,4,3,3,0,3,3,0,0,0,0,64,64,81.5394651,81.5394651,38,166,89.2,70.10848736,4915.2,0,0,0,0,0,0,0,0,1,111.5,38,166,64,0,0,0,0,0,0,2,76,2,332,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
192.168.10.3-192.168.10.14-53-56314-17,192.168.10.14,56314,192.168.10.3,53,17,4/7/2017 10:10,176,2,2,74,188,37,37,37,0,94,94,94,0,1488636.364,22727.27273,58.66666667,95.55277774,169,3,3,3,0,3,3,4,4,0,4,4,0,0,0,0,40,40,11363.63636,11363.63636,37,94,59.8,31.22018578,974.7,0,0,0,0,0,0,0,0,1,74.75,37,94,40,0,0,0,0,0,0,2,74,2,188,-1,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
192.168.10.3-192.168.10.17-53-64988-17,192.168.10.17,64988,192.168.10.3,53,17,4/7/2017 10:10,24383,2,2,60,234,30,30,30,0,117,117,117,0,12057.5811,164.0487225,8127.666667,14034.25086,24333,1,1,1,0,1,1,49,49,0,49,49,0,0,0,0,64,40,82.02436124,82.02436124,30,117,64.8,47.6518625,2270.7,0,0,0,0,0,0,0,0,1,81,30,117,64,0,0,0,0,0,0,2,60,2,234,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
